"","SSU_YEAR","NUM.total","occ","SPECIES_CD","X","PRIMARY_SAMPLE_UNIT","YEAR","MONTH","DAY","STATION_NR","LAT_DEGREES","LON_DEGREES","DEPTH","UNDERWATER_VISIBILITY","MAPGRID_NR","HABITAT_CD","ZONE_NR","SUBREGION_NR","MPA_NR","SPECIES_NR","LEN","NUM","TIME_SEEN","PROT","STRAT","REGION","LAT_LON","REEF_site","REEF_lat","REEF_lon","region.id","HAB_CD2","psu_id","NUM.total2","PSU_YEAR"
"46","1999_093U_2",0,0,"HOL BERM",89007,"093U",1999,8,3,2,24.45383,-81.85868,6.6,8,4928524,"SPGR_HR",4,8,22,152,0,0,1,1,"HRRF","FLA KEYS","24.45383_-81.85868","Squid Row",24.4496666666667,-81.8606666666667,3408,"SPGR",55,0,"1999_093U"
"47","1999_094U_1",0,0,"HOL BERM",89853,"094U",1999,8,3,1,24.45467,-81.856,6.9,8,4936025,"SPGR_HR",4,8,22,152,0,0,1,1,"HRRF","FLA KEYS","24.45467_-81.856","Rock Key",24.449,-81.8563333333333,3408,"SPGR",56,0,"1999_094U"
"48","1999_094U_2",0,0,"HOL BERM",89776,"094U",1999,8,3,2,24.455,-81.85683,7.8,8,4932275,"SPGR_HR",4,8,22,152,0,0,1,1,"HRRF","FLA KEYS","24.455_-81.85683","Rock Key",24.449,-81.8563333333333,3408,"SPGR",57,0,"1999_094U"
"49","1999_110U_1",1,1,"HOL BERM",105535,"110U",1999,6,15,1,24.47758,-81.72087,16,8,5191037,"SPGR_LR",4,8,20,152,22,0.5,1,1,"FMLR","FLA KEYS","24.47758_-81.72087","Western Sambo",24.4791666666667,-81.7163333333333,3408,"SPGR",58,1,"1999_110U"
"50","1999_201U_1",0,0,"HOL BERM",108215,"201U",1999,8,6,1,24.44453,-81.92715,7,8,4801019,"SPGR_HR",4,8,0,152,0,0,1,0,"HRRF","FLA KEYS","24.44453_-81.92715","Lost Reef/High Rocks",24.4433333333333,-81.9325,3408,"SPGR",59,0,"1999_201U"
"51","1999_201U_2",0,0,"HOL BERM",108337,"201U",1999,8,6,2,24.44457,-81.92687,6.1,8,4801019,"SPGR_HR",4,8,0,152,0,0,1,0,"HRRF","FLA KEYS","24.44457_-81.92687","Lost Reef/High Rocks",24.4433333333333,-81.9325,3408,"SPGR",60,0,"1999_201U"
"52","1999_201U_3",0,0,"HOL BERM",108758,"201U",1999,8,6,3,24.44568,-81.92523,6.7,8,4804770,"SPGR_HR",4,8,0,152,0,0,1,0,"HRRF","FLA KEYS","24.44568_-81.92523","NOAA Site-Stn 14512",24.44675,-81.918,3408,"SPGR",61,0,"1999_201U"
"53","1999_201U_4",0,0,"HOL BERM",108744,"201U",1999,8,6,4,24.44568,-81.92442,8.2,8,4804770,"SPGR_HR",4,8,0,152,0,0,1,0,"HRRF","FLA KEYS","24.44568_-81.92442","NOAA Site-Stn 14512",24.44675,-81.918,3408,"SPGR",62,0,"1999_201U"
"54","1999_202U_1",0,0,"HOL BERM",109839,"202U",1999,8,6,1,24.44512,-81.92822,7.6,8,4797270,"SPGR_HR",4,8,0,152,0,0,1,0,"HRRF","FLA KEYS","24.44512_-81.92822","Lost Reef/High Rocks",24.4433333333333,-81.9325,3408,"SPGR",63,0,"1999_202U"
"55","1999_202U_2",0,0,"HOL BERM",109676,"202U",1999,8,6,2,24.44453,-81.92782,8.8,8,4797269,"SPGR_HR",4,8,0,152,0,0,1,0,"HRRF","FLA KEYS","24.44453_-81.92782","Lost Reef/High Rocks",24.4433333333333,-81.9325,3408,"SPGR",64,0,"1999_202U"
