"","SP","m1.loo","m2.loo","m1.params","m2.params","mod","m1.sd_q","m2.sd_q1","m2.sd_q2","m1.sd_r1","m1.sd_r2","m2.sd_r1","m2.sd_r2","prop.sd.m1.rvc","prop.sd.m1.reef","prop.sd.m2.rvc","prop.sd.m2.reef","years.rvc","years.reef","rvc.b0","reef.b0","rvc.var.hab","reef.var.hab","reef.var.site","reef.var.dmy","reef.var.diver","rvc.b.depth","reef.b.depth","reef.b.btime","reef.b.vis","reef.b.curr","rvc.b.cont","reef.b.cont","rvc.b.isol","reef.b.isol","rvc.b.rubb","reef.b.hubb","rvc.b.sg","reef.b.sg","b.expert.reef","V41"
"39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Bluestriped Grunt",-10.8737563788003,6.61853928086043,6.25931435969898,4.15475750599449,"model2",0.042837473579328,0.099146803307394,0.181071964603186,0.273864608536772,0.282349143285178,0.206975161917742,0.133148807270857,0.136430160516941,0.128197700039164,0.323986903885563,0.573266158701482,23,26,2.40594190310144,15.0529051535611,0.792730159265074,0,3.38471762729304,1.02307399313228,1.47645152118332,-0.766449596999106,-0.16973676475729,0.258544668955915,0.0383136192081643,0.0192134712268327,-0.198596063172121,0,0.584463121883582,0,-1.31391221121632,0,0.961097175957741,0,0,-0.261260686670988
"41","Caesar Grunt",-33.3033609052202,-15.6665920222354,6.41621866743058,5.91051733096816,"model2",0.143126558523311,0.340172647924309,0.231551494028542,0.618126815341349,0.301322662373045,0.333082625410876,0.212924487254753,0.185392229400255,0.321501006599125,0.50308085603177,0.516410547148508,23,26,0.200620234750367,1.1366791593278,0.87175011379009,0.20389036347072,2.04312911930664,0.598731256808816,2.16992751566072,-1.16023042861665,-0.283025910257014,0.257025403955285,0.0690091347874059,-0.00679827590649331,-0.318703003944054,0.175646199813001,-0.58402384400534,-0.267817904934443,-0.5884911693751,-0.122349168930626,1.5675594156666,0.582469680280225,0.582469680280225,-0.620717229860366
"42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","French Grunt",-5.94589818384333,19.5575230640381,6.71339465033409,4.57418742435056,"model2",0.0283419755225378,0.0507828583661803,0.226309645545412,0.208767467681603,0.296269445453658,0.194381858572334,0.0716537032748843,0.118989716495481,0.085827490505627,0.2028054295847,0.7641427307663,23,26,2.96541441487281,10.9058074858655,0.336052971036167,0.175743664829994,1.82001104646842,0.72522479571129,1.5743418710413,-0.396184737262496,0.000436337923689204,0.266115321797685,0.0944273085262158,0.00900146059744794,0.00800863317134207,0.214214322128991,-0.0296825808456478,-0.394523256421173,-0.786625456823298,-0.129579231818127,0.822885718293583,0.313025576248341,0.313025576248341,-0.411555295652507
"44","Black Margate",-76.5877631048386,-68.513057788505,22.1666456133842,18.8951521316462,"model2",0.228557525853827,0.750314072885524,0.266742359002219,3.70709158460257,0.223056176462668,3.27057929151317,0.193269089322365,0.056640388786849,0.506205152534831,0.18764187324017,0.577856344509158,23,26,0.0586433200487506,0.775733993478548,0.791313336910608,0.0665238217729166,0.942186534051082,0.819128467674321,0.846273869696767,-0.132415878665514,-0.0579829252859812,0.24336205309071,0.0431017611454385,0.0815778788286587,-0.115201770121066,0.0695405353688723,-0.101564125153861,-0.114663535669709,-0.990847799471156,-0.0779133124423234,1.31390124150103,0.33238215719569,0.33238215719569,-0.305843210468399
"45","White Margate",-94.9472488790472,-93.0000293149402,12.4385582600279,12.0780021743519,"model2",0.431386348246194,1.26769693046147,0.422587186721812,7.3907277931456,0.285323162604954,6.46894384406007,0.293164400422392,0.0540330710379414,0.600037274397429,0.161973717435943,0.587801294901347,23,26,0.0755862136672623,0.142048731707426,4.94316336872488e-19,0,0.209574228366748,1.21249387271897,0.983245440605505,0.42663979575963,0.0181466448027626,0.236494990844165,0.0872813887897066,0.0194367438431742,-1.03416570293365e-18,0,-1.2778829495029e-19,0,-1.0594750789772e-18,0,2.22142040265749e-18,0,0,-0.129294308157075
"46","Porkfish",35.1615256342651,32.8958689031863,7.27813394038966,8.2750340824127,"model1",0.123568473494996,0.0403703750384007,0.123588937249712,0.237473749342767,0.0339912451821243,0.260729215512593,0.0318457035094586,0.340745257351972,0.788436254044178,0.131263575478604,0.801163031899984,23,26,0.678810025920825,3.10844704897149,0.557305842973633,0.156442541014901,1.63196496757513,0.690731642781469,1.0220737822662,-0.121300723381491,0.0903269237196853,0.284598508531098,0.064835937993972,0.0543330747717816,0.123532332143473,0.163095093407855,0.641636873789522,0.347400253617066,-1.19970610271247,-0.265992765823617,0.468442139928676,-0.246888651432585,-0.246888651432585,-0.153246534375341
"47","Sailors Choice",-32.5813573579062,-28.3821273545279,3.94118794770285,3.70109656108941,"model2",0.091195594314265,0.193583439987352,0.131732859229297,0.534637032560258,0.360553141742556,0.445879734469288,0.332365651974595,0.143203554307758,0.200874328161185,0.295451242703945,0.278357085537785,23,26,0.256230716204624,0.902254977108354,0.332298751846146,0,1.08121105188485,0.726852295189072,1.4390687493869,-0.6109791255544,-0.0977372295565247,0.15219259552791,0.0393043808315644,0.00278882472663984,0.0760351889515509,0,-0.137360664576858,0,-0.658255870876798,0,0.788308559920473,0,0,-0.224997676743634
"48","Smallmouth Grunt",-33.1966519737072,-20.8584963526494,6.38731248357099,5.38162594550537,"model2",0.169350998053811,0.0899653416795265,0.257296792016866,0.631277230907861,0.274001010376092,0.508612506334361,0.191826359494359,0.208613482270804,0.380828662507194,0.1471366135015,0.567382480257123,23,26,1.05931055997521,3.55910624756356,0.900432589814646,0.263544382053553,3.67694982435952,0.837649675150796,1.73003114060429,-0.904236573702764,-0.350354594378577,0.25112629801158,0.118959779848641,0.044966091601913,-0.754994207949096,0.0143463335996618,-0.414540912847896,-0.325402969936781,-0.313302910611185,0.0506856509793324,1.57495763556971,0.621307645408269,0.621307645408269,-0.585061217096315
